Actual,Predicted
293.65,294.36506323754656
136.33,135.24618884048658
271.4,270.62239141316326
680.76,686.6480668823159
200.2675,199.27091448338476
292.76,295.2655698546863
136.96,136.29372885214923
270.9,271.2491744882469
679.7,691.4434716325222
200.025,200.82904469534066
291.48,292.8687105319156
137.27,136.2728648986045
271.6,271.9119320756867
677.92,684.480050797876
202.12,203.3964426964543
289.0,289.55592235409824
139.96,139.80170774993127
277.65,276.43764575547306
678.9,691.427134052195
204.87,205.48493024012419
290.24,293.00456556594105
140.475,139.68884233699544
277.6525,276.3407017253361
674.07,683.2724194539909
205.39875,205.57142919493617
140.99,140.19362728058383
277.655,276.37745590895025
669.24,676.3050481477937
205.9275,205.5209743892667
291.04,293.1261095844562
141.505,141.26583803632508
277.6575,276.85224720437316
664.41,670.1579280077447
206.45625,206.07274821419304
291.84,293.8762891443083
142.02,141.87484901394726
277.66,276.9513600490415
659.58,664.152460124468
206.985,206.11533401917416
292.64,293.88831654947114
144.57,144.25571427787105
279.93,279.4563653897852
644.65,649.6091571034176
203.7175,205.51698136892003
297.13,296.44731511571086
143.24,142.70803350505622
277.42,277.3932749215558
652.81,638.9111435751084
199.0275,199.99145622051196
295.05,293.9382516813466
145.11,145.1493883898458
277.94,278.3912781571688
656.95,656.5037917993482
200.5025,200.37033405010885
300.21,300.1678399880393
144.9066667,144.54082745190365
277.7333333,278.31483308390534
666.5333333,663.832070025992
202.0433333,201.69509899092157
301.13,300.7998179817213
144.7033333,144.41025732595318
277.5266667,278.4534577190832
676.1166667,671.2030277040528
203.5841667,203.1371185495404
302.05,301.59795802494153
144.5,145.17199832054817
277.32,279.175951736898
685.7,680.2194069755902
205.125,205.09491520330195
302.97,302.81579761676505
145.64,145.5760488342163
280.98,280.94011086077444
668.54,679.3723351855504
202.5,203.31885703588512
301.19,304.0598272536617
149.15,149.59993323532598
282.51,282.70718711118855
653.38,665.474067654968
198.415,199.78710529901477
300.75,303.11678837454514
148.48,148.7766442896002
281.03,282.0916325806124
650.6,651.2585375363415
189.6625,191.71404641636812
296.51,297.86434102026794
146.39,148.01348289097032
280.75,282.79585814416964
644.22,653.1740009832135
181.61,184.5627969436277
294.63,298.71159793390626
145.0766667,145.84981878614053
279.5033333,280.5909499223397
644.8866667,646.841360450561
183.6725,184.41478654272225
294.7033333,296.7584447486748
143.7633333,144.189457214622
278.2566667,278.7749290053217
645.5533333,641.2327187424528
185.735,184.48877541343296
294.7766667,294.8954295882548
142.45,143.54346367337706
277.01,277.4615612681584
646.22,636.6796433104216
187.7975,185.27684650864796
294.85,293.4609373737829
146.15,144.92622049312865
279.32,278.98511201662586
660.5,653.497088387985
186.12,184.4535153149478
298.07,296.35511769076436
145.4,145.30777561419444
281.4,279.79492802377075
655.29,661.5563709493354
194.1,191.5888815256851
301.77,300.87648414819506
146.8,147.2635198364792
286.14,286.20206683982855
649.26,656.3103988510362
195.94,195.71240409040303
303.69,305.8758170096405
148.56,148.6287549763125
289.67,289.8815819569074
643.38,647.9155960604813
195.58,195.19127247076318
308.53,309.2598653362494
148.7033333,148.24153177793585
289.4633333,289.3183352671208
648.1266667,651.9436660110607
194.7,193.76024616172043
307.9533333,309.07406055735737
148.8466667,148.47541217895463
289.2566667,289.1944657443205
652.8733333,656.9073419800011
193.82,192.67436879540645
307.3766667,309.0073154179203
148.99,149.51590881236524
289.05,289.481650246432
657.62,664.3020401661089
192.94,191.927910835253
306.8,309.42751479666964
146.77,147.74385820521843
286.54,285.9328146428452
644.78,642.4264081721897
192.08,190.50990446727462
300.48,299.13478935385774
144.98,145.21279971263564
286.22,286.789680199305
646.98,651.5145220294227
195.03,192.72831208132743
301.98,300.6745763062029
145.64,145.71361894052598
286.5,288.92902043546
677.35,669.959215202544
196.62,196.20559215913872
283.17,286.4089546744372
145.86,145.92000924558369
284.91,286.8617960214015
687.2,688.274019419914
194.99,195.53209742534025
